"S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3"
"Glyma06g12670.1",0.802444419,2.708883726,1.763406798,7.716099348,6.581989743,7.003538233,8.556732199,8.367593242,8.389347042
"Glyma08g12390.2",4.768720191,5.235777397,5.166630805,3.82347168,3.566863045,3.295618641,3.669489075,4.031427077,4.269312365
"Glyma12g02076.11",3.189934035,2.902131009,2.906502055,3.100206401,3.284326375,3.295618641,3.364437003,2.731104899,3.255648587
"Glyma18g53450.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma05g03470.4",3.189934035,2.480108018,3.262081821,0.802444419,2.152379961,3.930005221,4.399832955,3.419649007,4.143559112
"Glyma18g47570.2",4.919179105,5.235777397,5.584408798,4.485384761,5.023917098,4.541038243,4.226705426,3.955057373,4.384823783
"Glyma19g39560.2",5.98068647,6.456478741,6.401521202,3.82347168,5.04205395,5.140715616,5.326537964,4.908943616,5.539058301
"Glyma13g34002.1",7.902832868,7.689861718,7.894215358,7.472612049,7.617454384,7.323690682,7.330840303,7.317565397,7.404163084
"Glyma13g12610.1",6.793595219,6.767104229,6.773909349,7.066882008,6.689192162,6.878806776,6.490471518,6.382308044,6.138508179
"Glyma02g10701.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma05g06410.1",3.928861976,4.259121106,3.93848481,0.802444419,3.514821475,2.024570893,1.960025921,1.780646184,2.134442499
"Glyma04g24371.1",10.46110364,10.44478417,10.2623267,8.946212778,9.382741021,9.759569343,9.320787473,9.359985388,9.274454753
"Glyma14g03920.1",0.802444419,0.802444419,2.138459829,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,2.134442499
"Glyma08g19101.1",3.60822179,3.963154457,4.306872305,5.17215966,4.697348021,4.268174867,5.487793233,4.935454831,3.680652147
"Glyma15g43100.1",11.20396376,11.06628369,11.01286835,9.559341611,10.39621265,10.89792989,7.113588064,7.276810242,7.348755094
"Glyma10g31876.1",0.802444419,1.806181881,2.284122113,3.82347168,2.54603671,2.485804332,2.717845277,3.380640935,2.979755932
